,open,high,low,close,volume
2020-03-01,0.0022202,0.00231,0.0022004,0.0022794,116810334.0
2020-03-02,0.0022688,0.0023792,0.0022205,0.0023471,96449244.0
2020-03-03,0.002358,0.0025355,0.0023082,0.0024985,276081118.0
2020-03-04,0.0025031,0.0025033,0.00237,0.0024187,201587827.0
2020-03-05,0.0024251,0.00253,0.0024222,0.0024771,122219349.0
2020-03-06,0.0024773,0.0024999,0.0024374,0.0024862,63303104.0
2020-03-07,0.0024862,0.002494,0.0023922,0.0024066,112331024.0
2020-03-08,0.0024029,0.0024039,0.00215,0.0021671,181080658.0
2020-03-09,0.0021714,0.0022269,0.00208,0.0022203,229780847.0
2020-03-10,0.0022261,0.0022641,0.0021533,0.0022053,225779527.0
2020-03-11,0.0022021,0.0022181,0.0020911,0.0021716,128060172.0
2020-03-12,0.0021759,0.0021805,0.0014003,0.0015996,770809996.0
2020-03-13,0.0014971,0.0017957,0.0011345,0.001746,372647948.0
2020-03-14,0.0017226,0.0017771,0.001633,0.0016632,224230347.0
2020-03-15,0.0016603,0.0018329,0.0016295,0.0016932,183272920.0
2020-03-16,0.0016903,0.0017,0.0013478,0.0015817,232810549.0
2020-03-17,0.0015927,0.0016873,0.001546,0.0016219,120269653.0
2020-03-18,0.0016219,0.0016428,0.0015442,0.0016002,153194705.0
2020-03-19,0.0016002,0.0018395,0.001565,0.00177,315677300.0
2020-03-20,0.00176,0.0019361,0.0016412,0.0017802,301406598.0
2020-03-21,0.0017758,0.0018533,0.0016964,0.0017849,120948576.0
2020-03-22,0.0017897,0.0018447,0.0017155,0.0017264,156027627.0
2020-03-23,0.0017222,0.0018576,0.0016843,0.0018192,180308460.0
2020-03-24,0.001826,0.001916,0.0018047,0.0018641,283137113.0
2020-03-25,0.0018511,0.0018947,0.00179,0.0018296,170824524.0
2020-03-26,0.0018296,0.0018673,0.0018111,0.0018519,151160373.0
2020-03-27,0.001847,0.00187,0.0017408,0.0017766,195811269.0
2020-03-28,0.0017754,0.001809,0.0016981,0.001783,314932329.0
