,open,high,low,close,volume
2020-03-01,58.05,60.28,56.21,57.7,633924.91162
2020-03-02,57.72,62.32,57.25,61.42,660927.26176
2020-03-03,61.42,62.4,59.4,61.01,640940.77457
2020-03-04,61.02,61.78,58.71,60.38,424299.86211
2020-03-05,60.38,63.29,60.33,62.06,556909.07976
2020-03-06,62.06,63.84,61.18,63.22,469519.29565
2020-03-07,63.21,63.89,59.86,60.46,444270.53508
2020-03-08,60.46,60.47,50.41,51.0,945026.27128
2020-03-09,51.02,52.27,46.57,50.39,1426145.50164
2020-03-10,50.37,51.39,48.86,50.26,727732.90911
2020-03-11,50.24,50.74,45.47,48.53,799984.95798
2020-03-12,48.52,48.76,28.65,29.83,2239777.98028
2020-03-13,29.83,39.92,24.0,37.52,3435572.20926
2020-03-14,37.51,37.65,33.8,34.4,1181175.59196
2020-03-15,34.4,38.73,34.04,36.38,1040322.30282
2020-03-16,36.37,36.41,29.29,33.2,1624714.37584
2020-03-17,33.23,35.85,32.42,34.07,945437.93136
2020-03-18,34.06,34.83,32.28,34.71,1044607.75726
2020-03-19,34.72,40.8,34.0,38.9,1344406.50235
2020-03-20,38.9,43.69,34.05,38.08,1571300.60857
2020-03-21,38.07,39.84,36.21,38.32,667452.63396
2020-03-22,38.34,39.69,34.82,35.4,714342.7273
2020-03-23,35.42,39.99,34.57,38.94,859942.52611
2020-03-24,38.93,40.95,38.21,40.57,593656.77335
2020-03-25,40.56,41.04,38.09,39.17,577448.88856
2020-03-26,39.17,40.48,38.4,40.41,415595.26222
2020-03-27,40.41,41.21,37.73,38.04,481643.28173
2020-03-28,38.04,39.43,36.61,38.87,624312.49566
2020-03-29,38.85,39.11,36.97,37.11,402076.31264
2020-03-30,37.11,39.7,37.1,38.91,432738.21921
2020-03-31,38.93,39.32,38.33,39.08,378426.95789
2020-04-01,39.07,39.5,37.14,39.23,489850.01556
2020-04-02,39.23,42.92,39.0,39.86,701573.76921
2020-04-03,39.88,41.26,39.64,40.46,463368.1163
2020-04-04,40.49,41.16,39.86,40.71,362602.27624
2020-04-05,40.74,41.0,39.86,40.31,231112.9573
2020-04-06,40.31,45.09,40.28,45.04,721562.2858
2020-04-07,45.03,47.64,43.64,44.77,808081.85352
2020-04-08,44.79,47.2,44.27,46.55,500059.46495
2020-04-09,46.52,46.86,44.69,46.21,401085.47958
2020-04-10,46.19,46.39,40.86,42.25,785172.33131
2020-04-11,42.28,43.16,41.43,42.54,382360.32132
2020-04-12,42.54,43.58,41.83,42.0,499257.03257
2020-04-13,41.99,41.99,39.52,41.22,744114.51306
2020-04-14,41.2,41.85,40.47,41.22,420837.68832
2020-04-15,41.19,41.75,39.08,39.22,460328.1631
2020-04-16,39.24,43.78,37.91,42.53,913086.97771
2020-04-17,42.52,43.01,41.61,42.19,407623.04587
2020-04-18,42.2,44.43,41.98,44.14,497104.94271
2020-04-19,44.16,44.3,41.54,42.23,456205.81252
2020-04-20,42.23,43.24,39.55,40.21,543840.05683
2020-04-21,40.21,41.34,40.01,40.59,346732.08492
