,open,high,low,close,volume
2020-03-01,0.01647,0.01711,0.01611,0.01643,625702401.1
2020-03-02,0.01643,0.01785,0.01638,0.01759,770327372.0
2020-03-03,0.0176,0.0176,0.01688,0.01723,636342338.6
2020-03-04,0.01722,0.01783,0.01699,0.01774,622143058.6
2020-03-05,0.01775,0.01834,0.01773,0.01789,884641939.2
2020-03-06,0.01789,0.01838,0.01785,0.01833,487472127.8
2020-03-07,0.01834,0.01836,0.01643,0.01699,742721433.8
2020-03-08,0.01699,0.01699,0.01443,0.01465,1126909244.5
2020-03-09,0.01465,0.01534,0.01402,0.01504,1312390184.7
2020-03-10,0.01503,0.01536,0.01461,0.01508,643206840.2
2020-03-11,0.01509,0.01529,0.01411,0.01489,601301901.1
2020-03-12,0.0149,0.01495,0.00805,0.00841,3212166926.3
2020-03-13,0.00841,0.01093,0.00684,0.01029,5093172940.4
2020-03-14,0.01028,0.01057,0.00954,0.00973,1167094658.7
2020-03-15,0.00972,0.01111,0.0096,0.01026,979403292.8
2020-03-16,0.01026,0.01036,0.00851,0.00961,1640653245.5
2020-03-17,0.00962,0.01036,0.00947,0.01002,926080810.5
2020-03-18,0.01001,0.01025,0.0096,0.01022,711959803.5
2020-03-19,0.01023,0.0122,0.01007,0.01163,1231609708.3
2020-03-20,0.01162,0.01277,0.01022,0.01127,1430543872.6
2020-03-21,0.01127,0.01165,0.01065,0.01123,905427179.0
2020-03-22,0.01124,0.01163,0.01016,0.0103,694215725.6
2020-03-23,0.01028,0.01153,0.01007,0.01137,883898512.3
2020-03-24,0.01136,0.0117,0.01113,0.01151,871001869.3
2020-03-25,0.01149,0.0118,0.01102,0.01139,727462671.9
2020-03-26,0.01138,0.01203,0.01125,0.01196,672326599.9
2020-03-27,0.01195,0.0121,0.01095,0.01121,628892755.6
2020-03-28,0.0112,0.0115,0.01072,0.01139,723775916.5
2020-03-29,0.0114,0.01145,0.01066,0.01066,492938809.4
2020-03-30,0.01066,0.01183,0.01063,0.01145,603891455.8
2020-03-31,0.01146,0.01177,0.01135,0.01157,485594597.4
2020-04-01,0.01158,0.01165,0.01113,0.01158,535744796.9
2020-04-02,0.01157,0.01258,0.01149,0.01196,782637330.2
2020-04-03,0.01195,0.01221,0.01174,0.01194,603413300.5
