,open,high,low,close,volume
2020-03-01,0.22897,0.23607,0.22428,0.22696,125219316.2
2020-03-02,0.22699,0.24149,0.22582,0.23958,138299654.6
2020-03-03,0.23968,0.2397,0.22942,0.23428,130633902.5
2020-03-04,0.23433,0.23839,0.23,0.23453,92570643.5
2020-03-05,0.23449,0.2432,0.23449,0.23909,130944711.9
2020-03-06,0.23907,0.24629,0.23804,0.24477,116563269.6
2020-03-07,0.24475,0.245,0.235,0.23622,95845464.2
2020-03-08,0.23624,0.23624,0.2,0.20385,271417418.6
2020-03-09,0.20387,0.2115,0.19787,0.20952,288610509.4
2020-03-10,0.20946,0.21567,0.19979,0.21185,182259714.8
2020-03-11,0.21181,0.2138,0.199,0.20813,178652631.5
2020-03-12,0.20824,0.20988,0.12798,0.13549,771225355.4
2020-03-13,0.13536,0.16614,0.10129,0.15872,1234550066.8
2020-03-14,0.15875,0.161,0.14351,0.14588,317354167.4
2020-03-15,0.1459,0.16422,0.14449,0.15308,292888161.2
2020-03-16,0.15306,0.15338,0.12815,0.14102,534401535.9
2020-03-17,0.1411,0.1519,0.13962,0.14694,317550005.4
2020-03-18,0.14691,0.14938,0.14001,0.1476,233087384.9
2020-03-19,0.14749,0.17257,0.14428,0.1646,357277613.5
2020-03-20,0.16458,0.175,0.14504,0.15695,511513197.8
2020-03-21,0.15705,0.16196,0.15156,0.15797,270014080.0
2020-03-22,0.15798,0.16178,0.14611,0.14776,221088260.9
2020-03-23,0.14774,0.16163,0.14472,0.15854,282036084.3
2020-03-24,0.15853,0.16387,0.15689,0.16225,250519379.8
2020-03-25,0.16229,0.16524,0.15667,0.16168,200584719.2
2020-03-26,0.1617,0.17742,0.15984,0.17593,206023274.9
2020-03-27,0.17591,0.18724,0.16936,0.17269,316147728.4
2020-03-28,0.17271,0.17984,0.16637,0.17543,308477933.9
2020-03-29,0.1754,0.1767,0.16184,0.16278,187119450.1
2020-03-30,0.16279,0.17546,0.16242,0.17112,181804091.3
2020-03-31,0.17109,0.17789,0.17044,0.17353,158613778.6
2020-04-01,0.17359,0.1763,0.16783,0.17494,184017110.9
2020-04-02,0.17497,0.1865,0.17384,0.17828,223398206.0
2020-04-03,0.17828,0.18277,0.17568,0.17957,170663444.5
2020-04-04,0.17956,0.18365,0.1777,0.18114,117148787.3
2020-04-05,0.18114,0.18206,0.17627,0.17925,83641306.3
2020-04-06,0.17927,0.19834,0.17917,0.19803,225433233.4
2020-04-07,0.198,0.20519,0.18986,0.19285,271460619.0
2020-04-08,0.19283,0.20294,0.19155,0.20192,154841655.0
2020-04-09,0.20192,0.20231,0.1938,0.19829,104421253.8
2020-04-10,0.19826,0.19872,0.18119,0.18758,160752187.0
2020-04-11,0.1876,0.19213,0.185,0.1885,100598265.9
2020-04-12,0.18848,0.19567,0.18616,0.18939,129786730.4
2020-04-13,0.18932,0.18947,0.18011,0.18763,158956441.4
2020-04-14,0.18764,0.18931,0.18313,0.18613,93684121.1
2020-04-15,0.18605,0.18973,0.18,0.1805,121466630.1
2020-04-16,0.1805,0.19399,0.174,0.19053,220290862.9
2020-04-17,0.1905,0.19185,0.18618,0.18863,91976842.0
2020-04-18,0.18863,0.19715,0.18838,0.19544,113765553.3
2020-04-19,0.19539,0.19638,0.18772,0.18901,89989794.3
2020-04-20,0.18892,0.19453,0.17821,0.18151,174028243.0
2020-04-21,0.18147,0.18637,0.18109,0.18341,111773322.9
2020-04-22,0.18342,0.18964,0.18202,0.18804,93916879.3
2020-04-23,0.18803,0.19951,0.18558,0.1926,179113808.3
2020-04-24,0.19261,0.19695,0.19197,0.19325,113830925.1
2020-04-25,0.19327,0.19776,0.1916,0.19418,78779257.1
2020-04-26,0.19414,0.19775,0.19133,0.19618,93225699.4
2020-04-27,0.1962,0.19979,0.19407,0.19747,104536714.3
2020-04-28,0.1975,0.21806,0.19459,0.21416,244843302.1
2020-04-29,0.21415,0.23075,0.20981,0.22648,292096742.3
2020-04-30,0.22644,0.2359,0.20816,0.21135,314088335.1
2020-05-01,0.21135,0.22418,0.21117,0.21786,160339801.0
2020-05-02,0.21785,0.22575,0.21534,0.22369,119932182.7
2020-05-03,0.22377,0.22667,0.2154,0.21936,111226961.6
2020-05-04,0.21936,0.22057,0.20713,0.21776,166756745.3
2020-05-05,0.21777,0.22213,0.21316,0.21688,106925948.7
2020-05-06,0.21688,0.2224,0.21029,0.21158,131362572.4
2020-05-07,0.21172,0.2211,0.20934,0.21862,175859218.0
2020-05-08,0.2186,0.22199,0.21423,0.21865,133922204.4
